국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률
스리랑카,관광,2015,7,3,여름,0,127,5.220355825078324,5.313205979041787,5.627621113690637,5.666426688112432,5.402677381872279,5.493404320079721,-36.11111111111111
스리랑카,관광,2015,8,3,여름,0,128,5.641907070938114,5.220355825078324,5.627621113690637,5.5053315359323625,5.4086654237169025,5.505670231955922,14.69387755102041
스리랑카,관광,2015,9,3,가을,0,129,5.786897381366708,5.641907070938114,5.313205979041787,6.131226489483141,5.5772109329667385,5.459230841326113,-29.193899782135073
스리랑카,관광,2015,10,4,가을,0,130,5.955837369464831,5.786897381366708,5.220355825078324,6.07993319509559,5.803124917988464,5.44097366694956,-11.697247706422019
스리랑카,관광,2015,11,4,가을,0,131,5.6240175061873385,5.955837369464831,5.641907070938114,5.407171771460119,5.7980820429546025,5.460294482624759,24.324324324324326
스리랑카,관광,2015,12,4,겨울,0,132,5.017279836814924,5.6240175061873385,5.786897381366708,4.90527477843843,5.603348077334431,5.465948207931988,11.940298507462686
스리랑카,관광,2016,1,1,겨울,0,133,4.875197323201151,5.017279836814924,5.955837369464831,4.795790545596741,5.227537184486989,5.469465622743866,8.333333333333332
스리랑카,관광,2016,2,1,겨울,0,134,5.14166355650266,4.875197323201151,5.6240175061873385,4.90527477843843,5.017279836814924,5.482026848616839,26.865671641791046
스리랑카,관광,2016,3,1,봄,0,135,5.459585514144159,5.14166355650266,5.017279836814924,5.375278407684165,5.187385805840755,5.488593314236629,8.837209302325581
스리랑카,관광,2016,4,2,봄,0,136,5.5909869805108565,5.459585514144159,4.875197323201151,5.627621113690637,5.414617822244197,5.485142655188135,-3.6101083032490973
스리랑카,관광,2016,5,2,봄,0,137,6.335054251498059,5.5909869805108565,5.14166355650266,5.627621113690637,5.8739939626336435,5.579415311122802,103.24909747292419
스리랑카,관광,2016,6,2,여름,0,138,5.575949103146316,6.335054251498059,5.459585514144159,5.313205979041787,5.900810178839851,5.598421958998375,30.198019801980198
스리랑카,관광,2016,7,3,여름,0,139,5.43372200355424,5.575949103146316,5.5909869805108565,5.220355825078324,5.864577697202128,5.611910820784319,23.91304347826087
스리랑카,관광,2016,8,3,여름,0,140,5.929589143389895,5.43372200355424,6.335054251498059,5.641907070938114,5.668730836597282,5.640132447579745,33.45195729537366
스리랑카,관광,2016,9,3,가을,0,141,6.07993319509559,5.929589143389895,5.575949103146316,5.786897381366708,5.850284933645202,5.672463791398774,34.15384615384615
스리랑카,관광,2016,10,4,가을,0,142,5.602118820879701,6.07993319509559,5.43372200355424,5.955837369464831,5.889800893331482,5.638947613317914,-29.87012987012987
스리랑카,관광,2016,11,4,가을,0,143,5.2574953720277815,5.602118820879701,5.929589143389895,5.6240175061873385,5.703782474656201,5.613432196401057,-30.79710144927536
스리랑카,관광,2016,12,4,겨울,0,144,5.099866427824199,5.2574953720277815,6.07993319509559,5.017279836814924,5.342334251964811,5.617376974692073,8.666666666666668
스리랑카,관광,2017,1,1,겨울,0,145,5.204006687076795,5.099866427824199,5.602118820879701,4.875197323201151,5.1892462714936745,5.6327040966782285,39.23076923076923
스리랑카,관광,2017,2,1,겨울,0,146,5.14166355650266,5.204006687076795,5.2574953720277815,5.14166355650266,5.149430585840319,5.6327040966782285,0.0
스리랑카,관광,2017,3,1,봄,0,147,5.3981627015177525,5.14166355650266,5.099866427824199,5.459585514144159,5.254017107651457,5.628519990155654,-5.982905982905983
스리랑카,관광,2017,4,2,봄,0,148,5.765191102784844,5.3981627015177525,5.204006687076795,5.5909869805108565,5.4680601411351315,5.643678550586496,19.101123595505616
