국적,목적,test_samples,mae_linear,mae_xgb
사우디아라비아,관광,46,462.09289495069925,37.767189627108365
이스라엘,관광,46,462.5814699826899,20.779466711956523
뉴질랜드,관광,46,495.5988256344087,29.583108102497846
카자흐스탄,관광,46,504.25570825312593,25.019919768623684
스위스,관광,46,521.7906145870497,24.876851164776348
폴란드,관광,46,544.8222081115749,25.468689130700152
터  키,관광,46,591.4768186530836,42.0782293236774
미얀마,기타,46,621.5450777278031,55.49629012398098
러시아(연방),기타,46,631.896762147443,49.49526314113451
스페인,관광,46,710.9654988324402,31.697703610295836
인  도,관광,46,816.1252526235303,32.43976493503737
네덜란드,관광,46,856.7388985315401,28.19579609580662
멕시코,관광,46,918.7138001977304,24.021053355673086
이탈리아,관광,46,921.083102524334,39.99837578897891
미  국,기타,46,1024.8488244197176,98.14760954483695
인  도,기타,46,1325.311446291229,51.80004352072011
베트남,유학연수,46,1326.734928946724,60.704492983610734
몽  골,관광,46,1530.0939043937353,54.28928425001062
인도네시아,기타,46,1660.4849528221362,127.9253513502038
러시아(연방),관광,46,1789.3208672090518,82.00843081266984
베트남,기타,46,1808.2922057008684,98.9380227793818
프랑스,관광,46,2110.903920857662,103.22241045081097
오스트레일리아,관광,46,2164.2834079669456,162.90720135232678
인도네시아,관광,46,2421.952012612732,143.06116386081862
영  국,관광,46,2426.6437975438926,116.88056415060292
캐나다,관광,46,2669.249716940572,146.74898694909137
필리핀,기타,46,2841.7414505807824,248.7174231487772
독  일,관광,46,3195.5684200719993,126.52359008789062
베트남,관광,46,4026.329269644487,202.4564786164657
필리핀,관광,46,4695.578328074576,301.0787778108016
말레이시아,관광,46,4780.13574204802,151.24618577957153
중  국,유학연수,46,5026.172298937754,287.810290792714
중  국,기타,46,7172.61269595779,545.0111243206521
홍  콩,관광,46,7664.47365669362,206.40095835146695
태  국,관광,46,7992.587122752989,208.0717367089313
싱가포르,관광,46,8048.525581353212,281.0338517893916
대  만,관광,46,13799.837270207936,235.9235139100448
미  국,관광,46,14561.09081451181,1344.2336319633152
일  본,관광,46,45360.283775190655,1250.2718578836193
중  국,관광,46,47721.15884495548,851.1979157820991
