국적,목적,YearMonth,Headcount
아르헨티나,유학연수,2019-02-01,9
아르헨티나,기타,2019-02-01,36
콜롬비아,관광,2019-02-01,221
콜롬비아,상용,2019-02-01,1
콜롬비아,공용,2019-02-01,2
콜롬비아,유학연수,2019-02-01,52
콜롬비아,기타,2019-02-01,59
페  루,관광,2019-02-01,183
페  루,상용,2019-02-01,0
페  루,공용,2019-02-01,10
페  루,유학연수,2019-02-01,43
페  루,기타,2019-02-01,28
베네수엘라,관광,2019-02-01,65
베네수엘라,상용,2019-02-01,3
베네수엘라,공용,2019-02-01,1
베네수엘라,유학연수,2019-02-01,6
베네수엘라,기타,2019-02-01,63
미 주 기타,관광,2019-02-01,478
미 주 기타,상용,2019-02-01,11
미 주 기타,공용,2019-02-01,9
미 주 기타,유학연수,2019-02-01,78
미 주 기타,기타,2019-02-01,145
구 주,관광,2019-02-01,39712
구 주,상용,2019-02-01,1144
구 주,공용,2019-02-01,153
구 주,유학연수,2019-02-01,3379
구 주,기타,2019-02-01,17161
러시아(연방),관광,2019-02-01,12512
러시아(연방),상용,2019-02-01,139
러시아(연방),공용,2019-02-01,24
러시아(연방),유학연수,2019-02-01,391
러시아(연방),기타,2019-02-01,6935
폴란드,관광,2019-02-01,619
폴란드,상용,2019-02-01,14
폴란드,공용,2019-02-01,0
폴란드,유학연수,2019-02-01,74
폴란드,기타,2019-02-01,559
덴마크,관광,2019-02-01,469
덴마크,상용,2019-02-01,12
덴마크,공용,2019-02-01,5
덴마크,유학연수,2019-02-01,77
덴마크,기타,2019-02-01,131
그리스,관광,2019-02-01,381
그리스,상용,2019-02-01,27
그리스,공용,2019-02-01,0
그리스,유학연수,2019-02-01,5
그리스,기타,2019-02-01,194
스위스,관광,2019-02-01,710
스위스,상용,2019-02-01,17
스위스,공용,2019-02-01,0
스위스,유학연수,2019-02-01,67
스위스,기타,2019-02-01,83
노르웨이,관광,2019-02-01,455
노르웨이,상용,2019-02-01,38
노르웨이,공용,2019-02-01,3
노르웨이,유학연수,2019-02-01,45
노르웨이,기타,2019-02-01,36
스페인,관광,2019-02-01,1006
스페인,상용,2019-02-01,17
스페인,공용,2019-02-01,5
스페인,유학연수,2019-02-01,129
스페인,기타,2019-02-01,216
루마니아,관광,2019-02-01,334
루마니아,상용,2019-02-01,4
루마니아,공용,2019-02-01,4
루마니아,유학연수,2019-02-01,30
루마니아,기타,2019-02-01,399
벨기에,관광,2019-02-01,452
벨기에,상용,2019-02-01,16
벨기에,공용,2019-02-01,2
벨기에,유학연수,2019-02-01,41
벨기에,기타,2019-02-01,143
독  일,관광,2019-02-01,4878
독  일,상용,2019-02-01,258
독  일,공용,2019-02-01,15
독  일,유학연수,2019-02-01,525
독  일,기타,2019-02-01,1190
영  국,관광,2019-02-01,5864
영  국,상용,2019-02-01,150
영  국,공용,2019-02-01,8
영  국,유학연수,2019-02-01,105
영  국,기타,2019-02-01,1749
프랑스,관광,2019-02-01,3685
프랑스,상용,2019-02-01,235
프랑스,공용,2019-02-01,30
프랑스,유학연수,2019-02-01,958
프랑스,기타,2019-02-01,922
네덜란드,관광,2019-02-01,1580
네덜란드,상용,2019-02-01,33
네덜란드,공용,2019-02-01,7
네덜란드,유학연수,2019-02-01,180
네덜란드,기타,2019-02-01,557
우크라이나,관광,2019-02-01,543
우크라이나,상용,2019-02-01,51
우크라이나,공용,2019-02-01,2
우크라이나,유학연수,2019-02-01,57
우크라이나,기타,2019-02-01,1427
이탈리아,관광,2019-02-01,1685
이탈리아,상용,2019-02-01,52
이탈리아,공용,2019-02-01,14
이탈리아,유학연수,2019-02-01,125
이탈리아,기타,2019-02-01,508
불가리아,관광,2019-02-01,146
불가리아,상용,2019-02-01,0
불가리아,공용,2019-02-01,1
불가리아,유학연수,2019-02-01,15
불가리아,기타,2019-02-01,164
스웨덴,관광,2019-02-01,729
스웨덴,상용,2019-02-01,19
