국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,관광,2023,8,3,여름,0,224,521,476.0,412.0,377.0,464.0,429.6666666666667,38.196286472148536,0,1,3,485.62184635610015,362.5939152021587,493.92827853309444,447.3813466971178
그리스,관광,2023,9,3,가을,0,225,397,521.0,395.0,335.0,464.6666666666667,434.8333333333333,18.507462686567163,0,1,0,499.06198168145266,331.1337428563513,671.3487528939262,500.5148258105767
그리스,관광,2023,10,4,가을,0,226,622,397.0,476.0,401.0,513.3333333333334,453.25,55.11221945137157,0,1,0,514.2397254394771,334.0160914077282,673.9976279913698,507.41781494619164
그리스,관광,2023,11,4,가을,0,227,479,622.0,521.0,410.0,499.3333333333333,459.0,16.82926829268293,0,1,0,464.9940795738678,328.95926621341704,624.8479354478858,472.9337604117236
그리스,관광,2023,12,4,겨울,0,228,317,479.0,397.0,435.0,472.6666666666667,449.1666666666667,-27.1264367816092,0,1,1,345.89661895597806,281.50738998653287,490.6160082339442,372.6733390588184
그리스,상용,2020,1,1,겨울,0,181,37,18.0,21.0,17.0,23.666666666666668,21.83333333333333,117.64705882352942,0,2,1,20.202042215641523,26.27420252966179,20.412081036733586,22.2961085940123
그리스,상용,2020,2,1,겨울,0,182,14,37.0,16.0,27.0,23.0,20.75,-48.14814814814815,0,2,1,19.204015207224305,28.040207524548382,21.576703997129954,22.94030890963421
그리스,상용,2020,3,1,봄,1,183,4,14.0,18.0,13.0,18.33333333333333,20.0,-69.23076923076923,0,2,2,18.356537652157904,26.026032318067855,15.300726576209186,19.894432182144982
그리스,상용,2020,4,2,봄,1,184,6,4.0,37.0,15.0,8.0,19.25,-60.0,0,2,2,17.521395069823058,25.898670919584248,16.516153524263014,19.978739837890107
그리스,상용,2020,5,2,봄,1,185,6,6.0,14.0,21.0,5.333333333333333,18.0,-71.42857142857143,0,2,2,16.89737196087219,25.898670919584248,19.963533971315297,20.91985895059058
그리스,상용,2020,6,2,여름,1,186,6,6.0,4.0,18.0,6.0,17.0,-66.66666666666666,0,2,3,17.01378930524463,25.992293969117895,17.24581888902193,20.083967387794818
그리스,상용,2020,7,3,여름,1,187,14,6.0,6.0,11.0,8.666666666666666,17.25,27.27272727272727,0,2,3,17.308293037671504,25.992293969117895,13.24126002662217,18.847282344470525
그리스,상용,2020,8,3,여름,1,188,25,14.0,6.0,36.0,15.0,16.333333333333332,-30.55555555555556,0,2,3,19.896828811672076,30.294294327322667,30.76292216747956,26.984681768824768
그리스,상용,2020,9,3,가을,1,189,10,25.0,6.0,29.0,16.333333333333332,14.75,-65.51724137931035,0,2,0,19.956198752664026,27.586537536534237,28.095569265819005,25.21276851833909
그리스,상용,2020,10,4,가을,1,190,16,10.0,14.0,21.0,17.0,14.333333333333334,-23.809523809523807,0,2,0,19.411362392747264,27.83461942170706,20.168060557253696,22.471347457236007
그리스,상용,2020,11,4,가을,1,191,5,16.0,25.0,16.0,10.333333333333334,13.416666666666666,-68.75,0,2,0,18.736994616199038,27.399381731041608,16.485706764378367,20.874027703873
그리스,상용,2020,12,4,겨울,1,192,11,5.0,10.0,18.0,10.666666666666666,12.833333333333334,-38.88888888888889,0,2,1,16.546027493584674,21.75406894742694,17.37891895024264,18.55967179708475
그리스,상용,2021,1,1,겨울,1,193,14,11.0,16.0,37.0,10.0,10.916666666666666,-62.16216216216216,0,2,1,20.202042215641523,26.27420252966179,20.412081036733586,22.2961085940123
그리스,상용,2021,2,1,겨울,1,194,11,14.0,5.0,14.0,12.0,10.666666666666666,-21.428571428571427,0,2,1,19.204015207224305,28.040207524548382,21.576703997129954,22.94030890963421
그리스,상용,2021,3,1,봄,1,195,14,11.0,11.0,4.0,13.0,11.5,250.0,0,2,2,18.356537652157904,26.026032318067855,15.300726576209186,19.894432182144982
그리스,상용,2021,4,2,봄,1,196,8,14.0,14.0,6.0,11.0,11.666666666666666,33.33333333333333,0,2,2,17.521395069823058,25.898670919584248,16.516153524263014,19.978739837890107
그리스,상용,2021,5,2,봄,1,197,12,8.0,11.0,6.0,11.333333333333334,12.166666666666666,100.0,0,2,2,16.89737196087219,25.898670919584248,19.963533971315297,20.91985895059058
그리스,상용,2021,6,2,여름,1,198,12,12.0,14.0,6.0,10.666666666666666,12.666666666666666,100.0,0,2,3,17.01378930524463,25.992293969117895,17.24581888902193,20.083967387794818
그리스,상용,2021,7,3,여름,1,199,11,12.0,8.0,14.0,11.666666666666666,12.416666666666666,-21.428571428571427,0,2,3,17.308293037671504,25.992293969117895,13.24126002662217,18.847282344470525
그리스,상용,2021,8,3,여름,1,200,20,11.0,12.0,25.0,14.333333333333334,12.0,-20.0,0,2,3,19.896828811672076,30.294294327322667,30.76292216747956,26.984681768824768
그리스,상용,2021,9,3,가을,1,201,20,20.0,12.0,10.0,17.0,12.833333333333334,100.0,0,2,0,19.956198752664026,27.586537536534237,28.095569265819005,25.21276851833909
그리스,상용,2021,10,4,가을,1,202,12,20.0,11.0,16.0,17.333333333333332,12.5,-25.0,0,2,0,19.411362392747264,27.83461942170706,20.168060557253696,22.471347457236007
그리스,상용,2021,11,4,가을,1,203,6,12.0,20.0,5.0,12.666666666666666,12.583333333333334,20.0,0,2,0,18.736994616199038,27.399381731041608,16.485706764378367,20.874027703873
