국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_Prophet,예측_SARIMAX,예측_ExponentialSmoothing,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_LSTM_CPU,예측_GRU_CPU,예측_DenseNN_CPU,예측_LSTM_GPU,예측_GRU_GPU,예측_BiLSTM_GPU,예측_평균,최고모델_예측
사우디아라비아,공용,2022,7,3,여름,0,211,16,4.0,1.0,15.0,12.666666666666666,9.75,6.666666666666667,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.552716549678365,11.777903933003932,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.704753145876,15.552716549678365
사우디아라비아,공용,2022,8,3,여름,0,212,5,16.0,18.0,3.0,8.333333333333334,9.916666666666666,66.66666666666666,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.758875021664803,9.793918690225377,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.4732675816426,14.758875021664803
사우디아라비아,공용,2022,9,3,가을,0,213,10,5.0,4.0,4.0,10.333333333333334,10.416666666666666,150.0,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.758875021664803,10.31633253213804,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.5168020684687,14.758875021664803
사우디아라비아,공용,2022,10,4,가을,0,214,4,10.0,16.0,31.0,6.333333333333333,8.166666666666666,-87.09677419354838,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.685677823316048,9.06250522346845,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.4895500262173,15.685677823316048
사우디아라비아,공용,2022,11,4,가을,0,215,54,4.0,5.0,2.0,22.666666666666668,12.5,2600.0,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,16.493169073890485,16.240848944582314,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.1550362738585,16.493169073890485
사우디아라비아,공용,2022,12,4,겨울,0,216,1,54.0,10.0,4.0,19.666666666666668,12.25,-75.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,18.143943759345373,14.111399208875154,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.1151466863375,18.143943759345373
사우디아라비아,공용,2023,1,1,겨울,0,217,2,1.0,4.0,2.0,19.0,12.25,0.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,16.569205197056455,14.557454918591036,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.021089781956,16.569205197056455
사우디아라비아,공용,2023,2,1,겨울,0,218,6,2.0,54.0,10.0,3.0,11.916666666666666,-40.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,8.891412592546267,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.3475651694375,14.152952172880065
사우디아라비아,공용,2023,3,1,봄,0,219,17,6.0,1.0,22.0,8.333333333333334,11.5,-22.727272727272727,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.758875021664803,10.988423301162797,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.5728096325547,14.758875021664803
사우디아라비아,공용,2023,4,2,봄,0,220,5,17.0,2.0,1.0,9.333333333333334,11.833333333333334,400.0,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.758875021664803,9.840905361319932,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.477183137568,14.758875021664803
