국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,date,trend,lag_1,lag_3,lag_6,lag_12,ma_3,ma_6,ma_12,sin_month,cos_month,vs_lag12,vs_ma12,nat_mean,nat_std,pur_mean,pur_std,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Weighted_Ensemble
베트남,관광,2023,12,4,겨울,0,228,17386,26368.0,21688.0,12203.0,25466.0,20196.666666666668,42.47316233713022,19,1,1,2023-12-01,227,26368.0,21688.0,21175.0,12203.0,25466.0,23675.166666666668,20196.666666666668,-2.4492935982947064e-16,1.0,1.4246148803670928,0.8607925007839189,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,16211.601825644431,19898.481379286633,22725.98400625301,19649.031255871436
베트남,상용,2020,1,1,겨울,0,181,747,1136.0,1226.0,763.0,1072.3333333333333,1072.5833333333333,-2.0969855832241158,19,2,1,2020-01-01,180,1136.0,1226.0,1049.0,763.0,1072.3333333333333,1087.8333333333333,1072.5833333333333,0.49999999999999994,0.8660254037844387,0.9777486910994765,0.695800667546379,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,1544.7947436282743,946.4998518909724,900.4461167384771,1125.218153967328
베트남,상용,2020,2,1,겨울,0,182,626,747.0,1334.0,806.0,836.3333333333334,1057.5833333333333,-22.332506203473944,19,2,1,2020-02-01,181,747.0,1334.0,1020.0,806.0,836.3333333333334,1022.1666666666666,1057.5833333333333,0.8660254037844386,0.5000000000000001,0.7757125154894672,0.5913563725104306,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,1366.4257114856487,696.3787922780543,805.4805832383663,950.3404065575708
베트남,상용,2020,3,1,봄,1,183,15,626.0,1136.0,1047.0,462.6666666666667,971.5833333333334,-98.56733524355302,19,2,2,2020-03-01,182,626.0,1136.0,1064.0,1047.0,462.6666666666667,847.3333333333334,971.5833333333334,1.0,6.123233995736766e-17,0.01431297709923664,0.015422842944049352,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,1148.9984851103554,501.99544273462107,644.4412563355564,759.6461872893667
베트남,상용,2020,4,2,봄,1,184,5,15.0,747.0,1271.0,215.33333333333331,866.0833333333334,-99.6066089693155,19,2,2,2020-04-01,183,15.0,747.0,1226.0,1271.0,215.33333333333334,643.8333333333334,866.0833333333334,0.8660254037844387,-0.4999999999999998,0.003930817610062893,0.005766458433445459,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,1045.6023757910295,327.0418388148222,509.69111090518913,621.3761877686588
베트남,상용,2020,5,2,봄,1,185,1,5.0,626.0,1073.0,7.0,776.75,-99.90680335507922,19,2,2,2020-05-01,184,5.0,626.0,1334.0,1073.0,7.0,421.6666666666667,776.75,0.49999999999999994,-0.8660254037844387,0.000931098696461825,0.0012857602057216328,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,970.6370776032622,193.2012560622667,416.65743127003174,520.3060345330977
베트남,상용,2020,6,2,여름,1,186,5,1.0,15.0,1098.0,3.6666666666666665,685.6666666666666,-99.54462659380692,19,2,3,2020-06-01,185,1.0,15.0,1136.0,1098.0,3.6666666666666665,233.16666666666666,685.6666666666666,1.2246467991473532e-16,-1.0,0.004549590536851683,0.007281553398058253,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,931.0330651680298,188.13005159894027,278.08698686277666,459.32134986856636
베트남,상용,2020,7,3,여름,1,187,4,5.0,5.0,1049.0,3.333333333333333,598.5833333333334,-99.6186844613918,19,2,3,2020-07-01,186,5.0,5.0,747.0,1049.0,3.3333333333333335,109.33333333333333,598.5833333333334,-0.4999999999999997,-0.8660254037844388,0.0038095238095238095,0.006671299513551077,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,850.3291764616575,129.75733003588394,188.6591920488921,383.30225323457233
베트남,상용,2020,8,3,여름,1,188,3,4.0,1.0,1020.0,4.0,513.8333333333334,-99.70588235294116,19,2,3,2020-08-01,187,4.0,1.0,626.0,1020.0,4.0,5.5,513.8333333333334,-0.8660254037844385,-0.5000000000000004,0.002938295788442703,0.005827128520556814,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,850.3291764616575,129.75733003588394,182.95027865991563,381.3903810410043
베트남,상용,2020,9,3,가을,1,189,5,3.0,5.0,1064.0,4.0,425.5833333333333,-99.53007518796991,19,2,0,2020-09-01,188,3.0,5.0,15.0,1064.0,4.0,3.8333333333333335,425.5833333333333,-1.0,-1.8369701987210297e-16,0.004694835680751174,0.01172103926548154,2898.3802672147995,6763.337496066618,316.55936289910136,1182.603552534231,835.6605664698878,97.41882953593029,92.07890048490167,335.18338140678634
